datetime,smp
2018-02-01 01:00,116.84
2018-02-01 02:00,116.84
2018-02-01 03:00,116.84
2018-02-01 04:00,116.84
2018-02-01 05:00,116.84
2018-02-01 06:00,116.84
2018-02-01 07:00,116.84
2018-02-01 08:00,116.84
2018-02-01 09:00,146.87
2018-02-01 10:00,140.54
2018-02-01 11:00,142.26
2018-02-01 12:00,135.43
2018-02-01 13:00,131.73
2018-02-01 14:00,132.8
2018-02-01 15:00,132.8
2018-02-01 16:00,132.8
2018-02-01 17:00,135.43
2018-02-01 18:00,138.07
2018-02-01 19:00,150.65
2018-02-01 20:00,150.2
2018-02-01 21:00,148.88
2018-02-01 22:00,132.8
2018-02-01 23:00,132.8
2018-02-01 24:00,146.87
2018-02-02 01:00,133.92
2018-02-02 02:00,116.84
2018-02-02 03:00,117.04
2018-02-02 04:00,116.84
2018-02-02 05:00,116.84
2018-02-02 06:00,116.84
2018-02-02 07:00,121.1
2018-02-02 08:00,121.1
2018-02-02 09:00,163.86
2018-02-02 10:00,163.05
2018-02-02 11:00,159.53
2018-02-02 12:00,117.56
2018-02-02 13:00,118.74
2018-02-02 14:00,116.84
2018-02-02 15:00,116.84
2018-02-02 16:00,138.03
2018-02-02 17:00,143.3
2018-02-02 18:00,145.7
2018-02-02 19:00,147.28
2018-02-02 20:00,147.28
2018-02-02 21:00,145.15
2018-02-02 22:00,138.03
2018-02-02 23:00,138.85
2018-02-02 24:00,140.58
2018-02-03 01:00,126.88
2018-02-03 02:00,124.17
2018-02-03 03:00,126.31
2018-02-03 04:00,122.44
2018-02-03 05:00,121.86
2018-02-03 06:00,124.25
2018-02-03 07:00,124.25
2018-02-03 08:00,132.81
2018-02-03 09:00,126.31
2018-02-03 10:00,116.85
2018-02-03 11:00,116.85
2018-02-03 12:00,119.29
2018-02-03 13:00,117.74
2018-02-03 14:00,116.85
2018-02-03 15:00,116.85
2018-02-03 16:00,116.85
2018-02-03 17:00,116.85
2018-02-03 18:00,135.1
2018-02-03 19:00,164.07
2018-02-03 20:00,163.75
2018-02-03 21:00,161.19
2018-02-03 22:00,145.21
2018-02-03 23:00,145.21
2018-02-03 24:00,146.53
2018-02-04 01:00,130.47
2018-02-04 02:00,127.83
2018-02-04 03:00,132.36
2018-02-04 04:00,127.83
2018-02-04 05:00,127.75
2018-02-04 06:00,129.89
2018-02-04 07:00,125.44
2018-02-04 08:00,133.51
2018-02-04 09:00,138.12
2018-02-04 10:00,127.83
2018-02-04 11:00,134.09
2018-02-04 12:00,117.38
2018-02-04 13:00,116.12
2018-02-04 14:00,115.76
2018-02-04 15:00,116.55
2018-02-04 16:00,117.34
2018-02-04 17:00,125.2
2018-02-04 18:00,139.78
2018-02-04 19:00,171.0
2018-02-04 20:00,139.78
2018-02-04 21:00,138.71
2018-02-04 22:00,137.6
2018-02-04 23:00,137.6
2018-02-04 24:00,138.11
2018-02-05 01:00,129.16
2018-02-05 02:00,126.52
2018-02-05 03:00,131.05
2018-02-05 04:00,125.2
2018-02-05 05:00,126.52
2018-02-05 06:00,130.47
2018-02-05 07:00,128.0
2018-02-05 08:00,129.16
2018-02-05 09:00,168.07
2018-02-05 10:00,166.15
2018-02-05 11:00,138.54
2018-02-05 12:00,127.43
2018-02-05 13:00,126.52
2018-02-05 14:00,126.44
2018-02-05 15:00,126.52
2018-02-05 16:00,126.52
2018-02-05 17:00,123.89
2018-02-05 18:00,170.34
2018-02-05 19:00,167.46
2018-02-05 20:00,139.92
2018-02-05 21:00,140.4
2018-02-05 22:00,139.21
2018-02-05 23:00,139.8
2018-02-05 24:00,139.68
2018-02-06 01:00,125.22
2018-02-06 02:00,128.0
2018-02-06 03:00,129.73
2018-02-06 04:00,123.23
2018-02-06 05:00,121.75
2018-02-06 06:00,123.8
2018-02-06 07:00,121.75
2018-02-06 08:00,124.55
2018-02-06 09:00,167.51
2018-02-06 10:00,167.99
2018-02-06 11:00,164.78
2018-02-06 12:00,128.58
2018-02-06 13:00,121.09
2018-02-06 14:00,119.11
2018-02-06 15:00,119.36
2018-02-06 16:00,121.75
2018-02-06 17:00,119.11
2018-02-06 18:00,155.03
2018-02-06 19:00,160.96
2018-02-06 20:00,160.8
2018-02-06 21:00,157.75
2018-02-06 22:00,155.67
2018-02-06 23:00,156.95
2018-02-06 24:00,158.4
2018-02-07 01:00,127.81
2018-02-07 02:00,131.11
2018-02-07 03:00,125.84
2018-02-07 04:00,128.47
2018-02-07 05:00,128.47
2018-02-07 06:00,133.0
2018-02-07 07:00,127.81
2018-02-07 08:00,128.47
2018-02-07 09:00,141.07
2018-02-07 10:00,138.19
2018-02-07 11:00,129.38
2018-02-07 12:00,128.47
2018-02-07 13:00,124.11
2018-02-07 14:00,127.24
2018-02-07 15:00,125.84
2018-02-07 16:00,125.84
2018-02-07 17:00,136.46
2018-02-07 18:00,137.24
2018-02-07 19:00,141.07
2018-02-07 20:00,139.92
2018-02-07 21:00,138.83
2018-02-07 22:00,137.24
2018-02-07 23:00,138.71
2018-02-07 24:00,138.59
2018-02-08 01:00,116.84
2018-02-08 02:00,120.92
2018-02-08 03:00,116.84
2018-02-08 04:00,116.84
2018-02-08 05:00,116.84
2018-02-08 06:00,116.84
2018-02-08 07:00,119.07
2018-02-08 08:00,133.59
2018-02-08 09:00,144.54
